,mad_score_ruonia,mad_score_spread,flag_end_period,MAD_score_rate_spread,MAD_score_cover,Flag_Demand,MAD_score_repo_volume,Tax_Week_Flag,End_of_Month_Flag,End_of_Quarter_Flag,Seasonal_Factor,MAD_score_yield_spread,Flag_Nedospros,Flag_PeresprosMAD_score_CBR,MAD_score_Roskazna,Flag_Budget_Drain,Flag_Treasury_Placement_Drop,MAD_score_cover_m3
1051,7.187500000000004,-0.4433646466165651,0.0,0.0,0.0,False,0.0,0,0,0,1.0,0.7096139857700451,0.0,0.0,1.0673165897657473,False,True,-0.3630202617198133
1052,7.187500000000004,-0.4433646466165651,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,0.7096139857700451,0.0,0.0,1.1047874981023094,False,True,-0.3630202617198133
1053,7.178571428571432,-0.4433646466165651,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,0.7096139857700451,0.0,0.0,1.0574282599050615,False,True,-0.3630202617198133
1054,7.232142857142856,-0.4433646466165651,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,0.7096139857700451,0.0,0.0,0.881638688438081,False,True,-0.3630202617198133
1055,7.247787610619463,-0.4433646466165651,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.6695583938342728,1.0,1.0,0.8401463458586791,False,True,-0.3291343566852893
1056,7.115044247787605,-0.4433646466165651,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.6695583938342728,0.0,0.0,0.6818019219972369,False,True,-0.3291343566852893
1057,7.265486725663711,-0.4433646466165651,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.6695583938342728,0.0,0.0,0.7824510879729161,False,True,-0.3291343566852893
1058,7.265486725663711,-0.4433646466165651,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.6695583938342728,0.0,0.0,0.9075872337368824,False,True,-0.3291343566852893
1059,7.265486725663711,-0.4433646466165651,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-0.664825807505484,0.0,0.0,1.125043575319985,False,True,-0.3318339481981054
1060,7.1842105263157965,-0.4433646466165651,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-0.664825807505484,0.0,0.0,1.1343274349267294,False,True,-0.3318339481981054
1061,7.210526315789469,-0.4433646466165651,0.0,0.0,0.0,False,0.0,1,1,0,1.4,-0.664825807505484,0.0,0.0,1.1388536176502897,False,True,-0.3318339481981054
1062,7.08771929824561,-0.4433646466165651,0.0,0.0,0.0,False,0.0,1,1,0,1.4,2.1092732099881744,1.0,1.0,1.9256300899179395,False,True,-0.5425016331688388
1063,6.895652173913041,-0.4433646466165651,0.0,0.0,0.0,False,0.0,1,1,0,1.4,2.1092732099881744,0.0,0.0,2.1611658946455683,False,True,-0.5425016331688388
1064,6.886956521739128,-0.4433646466165651,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,2.1092732099881744,0.0,0.0,2.342073174440069,False,True,-0.5425016331688388
1065,6.886956521739128,-0.4433646466165651,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,2.1092732099881744,0.0,0.0,2.5329974363441097,False,True,-0.5630556250140923
1066,6.886956521739128,-0.4433646466165651,0.0,0.0,0.0,False,0.0,0,0,0,1.0,2.1092732099881744,0.0,0.0,2.6645252643248347,False,True,-0.5852284251356068
1067,6.782608695652171,-0.4433646466165651,0.0,0.0,0.0,False,0.0,0,0,0,1.0,2.1092732099881744,0.0,0.0,2.6495640359372903,True,True,-0.5852284251356068
1068,6.713043478260866,-0.4433646466165651,0.0,0.0,0.0,False,0.0,0,0,0,1.0,2.1092732099881744,0.0,0.0,2.6405689029375283,True,True,-0.5852284251356068
1069,6.525862068965517,-0.4433646466165651,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.3388888246331294,1.0,1.0,2.6419872086478664,True,True,-0.6384497616466157
1070,6.499999999999998,-0.4480812917933328,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.3388888246331294,0.0,0.0,2.714527105890979,True,True,-0.6384497616466157
1071,6.418803418803419,-0.4480812917933328,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.3388888246331294,0.0,0.0,2.850464027257296,True,True,-0.6384497616466157
1072,6.418803418803419,-0.4480812917933328,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.3388888246331294,0.0,0.0,2.8658607123045563,True,True,-0.6491548948176263
1073,6.418803418803419,-0.4480812917933328,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.3388888246331294,0.0,0.0,2.945678483855394,True,True,-0.6602251442190614
1074,6.837606837606833,-0.4480812917933328,1.0,0.7042253521126888,20.0,False,-1.0,0,0,0,1.0,-0.3388888246331294,0.0,0.0,3.0271249477654174,True,True,-0.6602251442190614
1075,6.796610169491527,-0.4480812917933328,1.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.3388888246331294,0.0,0.0,3.055173292086394,True,True,-0.6602251442190614
1076,6.932203389830505,0.6164133738601514,1.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,0.768645172683707,0.0,0.0,3.068050496844745,True,True,4.127749416497114
1077,7.127118644067793,0.6164133738601514,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,0.768645172683707,0.0,0.0,2.971562421243317,True,True,4.115774814297321
1078,7.415254237288131,0.6164133738601514,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,0.768645172683707,0.0,0.0,2.974095722002569,True,True,4.115774814297321
1079,7.415254237288131,0.6164133738601514,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,0.768645172683707,0.0,0.0,3.053081947276949,True,True,4.115774814297321
1080,7.415254237288131,0.6164133738601514,0.0,0.0,0.0,False,0.0,0,0,0,1.0,0.768645172683707,0.0,0.0,3.086743727237376,True,True,4.115774814297321
1081,7.336134453781516,0.6164133738601514,0.0,0.0,0.0,False,0.0,0,0,0,1.0,0.768645172683707,0.0,0.0,2.6528850725700672,True,True,4.115774814297321
1082,7.1596638655462215,0.6164133738601514,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,0.768645172683707,0.0,0.0,1.628123433500852,True,True,4.115774814297321
1083,7.184873949579834,0.6164133738601514,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-0.4425153805348509,0.0,0.0,1.4594081809277746,True,True,6.324763508530365
1084,7.025210084033611,0.6164133738601514,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-0.4425153805348509,0.0,0.0,1.4081170225254311,True,True,6.081204540703326
1085,6.933333333333333,0.6164133738601514,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.4425153805348509,0.0,0.0,1.4104133737869222,True,True,6.081204540703326
1086,6.933333333333333,0.6164133738601514,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.4425153805348509,0.0,0.0,1.6607795578666746,True,True,6.081204540703326
1087,6.933333333333333,0.6164133738601514,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-0.4456335172872026,0.0,0.0,1.668812533909105,True,True,6.081204540703326
1088,6.876033057851245,0.6164133738601514,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-0.4456335172872026,0.0,0.0,1.386895605509027,True,True,6.081204540703326
1089,6.77868852459017,0.6164133738601514,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-0.4456335172872026,0.0,0.0,1.1057937200543122,True,True,6.081204540703326
1090,6.7786885245901605,0.6164133738601514,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-0.4456335172872026,0.0,0.0,0.880826687440271,True,True,6.081204540703326
1091,6.79508196721311,0.6164133738601514,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-0.4456335172872026,0.0,0.0,0.7987791618688141,True,True,6.081204540703326
1092,6.79508196721311,0.6164133738601514,0.0,0.0,0.0,False,0.0,1,1,1,1.4,-0.4456335172872026,0.0,0.0,0.2385620088014317,True,False,6.081204540703326
1093,6.79508196721311,0.6164133738601514,0.0,0.0,0.0,False,0.0,0,1,1,1.4,-0.4456335172872026,0.0,0.0,0.2318573079241449,True,False,6.081204540703326
1094,6.79508196721311,0.6164133738601514,0.0,0.0,0.0,False,0.0,0,1,1,1.4,-0.4489224691649773,0.0,0.0,0.2178458536846602,True,False,6.081204540703326
